## mouse.knockout
## Mouse knockout phenotypes from JAX
## hg19, source=gm.jax created=28JUN2011:04:21:45
## PGC bioinformatics, PF Sullivan & Johan Kallberg, Karolinska Institutet, (c) 2016
## Rows: 5 comments, header, 6228 entries. Columns: 6
#chr	bp1	bp2	geneName	musName	phenotype
chr19	15270444	15311792	NOTCH3	Notch3	"cardiovascular system;embryogenesis;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;mortality/aging;muscle;nervous system;normal;respiratory system"
chr6	32162620	32191844	NOTCH4	Notch4	"cardiovascular system;embryogenesis;growth/size;homeostasis/metabolism;nervous system;normal"
chr2	73429386	73439641	NOTO	Noto	"behavior/neurological;cardiovascular system;embryogenesis;limbs/digits/tail;mortality/aging;nervous system;skeleton"
chr8	120428546	120436593	NOV	Nov	"adipose tissue;behavior/neurological;cardiovascular system;craniofacial;growth/size;hematopoietic system;immune system;limbs/digits/tail;liver/biliary system;mortality/aging;muscle;renal/urinary system;skeleton;vision/eye"
chr14	26912299	27066960	NOVA1	Nova1	"behavior/neurological;growth/size;mortality/aging;nervous system"
chr19	46436992	46476804	NOVA2	Nova2	"mortality/aging;nervous system"
chrX	100098313	100129334	NOX1	Nox1	"cardiovascular system;homeostasis/metabolism;muscle"
chr6	155716504	155777037	NOX3	Nox3	"adipose tissue;behavior/neurological;growth/size;hearing/vestibular/ear;homeostasis/metabolism"
chr11	89057524	89322779	NOX4	Nox4	"cardiovascular system;cellular;homeostasis/metabolism;mortality/aging;muscle;nervous system;no phenotypic analysis;renal/urinary system"
chr9	140317802	140328858	NOXA1	Noxa1	"no phenotypic analysis;normal"
chr16	2028918	2034193	NOXO1	Noxo1	"behavior/neurological;hearing/vestibular/ear"
chr19	47523077	47549033	NPAS1	Npas1	"behavior/neurological;growth/size;nervous system"
chr2	101436614	101613291	NPAS2	Npas2	"behavior/neurological;cardiovascular system;homeostasis/metabolism;nervous system"
chr14	33404139	34273382	NPAS3	Npas3	"behavior/neurological;cardiovascular system;growth/size;hearing/vestibular/ear;homeostasis/metabolism;mortality/aging;nervous system;respiratory system"
chr11	66188475	66194178	NPAS4	Npas4	"behavior/neurological;homeostasis/metabolism;mortality/aging;muscle;nervous system"
chr17	79858621	79860781	NPB	Npb	"behavior/neurological;growth/size;integument"
chr8	53850991	53853677	NPBWR1	Npbwr1	"behavior/neurological;growth/size;homeostasis/metabolism;liver/biliary system"
chr18	21086148	21166862	NPC1	Npc1	"adipose tissue;behavior/neurological;cellular;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;liver/biliary system;mortality/aging;nervous system;reproductive system;respiratory system"
chr7	44552134	44580914	NPC1L1	Npc1l1	"digestive/alimentary;endocrine/exocrine gland;growth/size;homeostasis/metabolism;liver/biliary system"
chr14	74942895	74960880	NPC2	Npc2	"behavior/neurological;cellular;growth/size;hematopoietic system;homeostasis/metabolism;immune system;liver/biliary system;mortality/aging;nervous system"
chr9	139933922	139940655	NPDC1	Npdc1	"normal"
chr17	45600308	45700642	NPEPPS	Npepps	"behavior/neurological;endocrine/exocrine gland;growth/size;homeostasis/metabolism;immune system;integument;mortality/aging;reproductive system"
chr2	110879888	110962643	NPHP1	Nphp1	"endocrine/exocrine gland;no phenotypic analysis;renal/urinary system;reproductive system;vision/eye"
chr3	132276986	132441303	NPHP3	Nphp3	"behavior/neurological;cardiovascular system;craniofacial;embryogenesis;growth/size;hematopoietic system;homeostasis/metabolism;immune system;mortality/aging;nervous system;renal/urinary system;skeleton"
chr1	5922871	6052533	NPHP4	Nphp4	"cardiovascular system;nervous system;pigmentation;renal/urinary system;reproductive system;vision/eye"
chr19	36316866	36360189	NPHS1	Nphs1	"homeostasis/metabolism;mortality/aging;nervous system;renal/urinary system"
chr1	179519674	179545087	NPHS2	Nphs2	"cardiovascular system;growth/size;homeostasis/metabolism;mortality/aging;renal/urinary system"
chr1	182758428	182799519	NPL	Npl	"homeostasis/metabolism;immune system"
chr5	170814120	170838141	NPM1	Npm1	"cardiovascular system;cellular;embryogenesis;growth/size;hematopoietic system;integument;liver/biliary system;mortality/aging;nervous system;tumorigenesis;vision/eye"
chr8	21881636	21894408	NPM2	Npm2	"embryogenesis;reproductive system"
chr4	106815932	106925184	NPNT	Npnt	"no phenotypic analysis;renal/urinary system"
chr1	11905766	11908402	NPPA	Nppa	"cardiovascular system;hematopoietic system;homeostasis/metabolism;muscle;renal/urinary system"
chr1	11917521	11918988	NPPB	Nppb	"cardiovascular system;muscle"
chr2	232786530	232791113	NPPC	Nppc	"craniofacial;endocrine/exocrine gland;growth/size;homeostasis/metabolism;limbs/digits/tail;mortality/aging;nervous system;reproductive system;skeleton"
chr1	153651113	153666468	NPR1	Npr1	"cardiovascular system;endocrine/exocrine gland;homeostasis/metabolism;immune system;mortality/aging;muscle;reproductive system;respiratory system"
chr9	35792151	35809729	NPR2	Npr2	"behavior/neurological;cardiovascular system;craniofacial;digestive/alimentary;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;limbs/digits/tail;mortality/aging;muscle;nervous system;reproductive system;respiratory system;skeleton"
chr5	32689176	32791819	NPR3	Npr3	"adipose tissue;behavior/neurological;cardiovascular system;craniofacial;growth/size;hearing/vestibular/ear;hematopoietic system;homeostasis/metabolism;immune system;limbs/digits/tail;mortality/aging;renal/urinary system;reproductive system;skeleton;vision/eye"
chr16	134273	188859	NPRL3	Nprl3	"hematopoietic system;integument;liver/biliary system;mortality/aging"
chr7	34697851	34917944	NPSR1	Npsr1	"homeostasis/metabolism;immune system;respiratory system"
chr17	78440948	78451643	NPTX1	Nptx1	"behavior/neurological;nervous system;vision/eye"
chr7	98246609	98259180	NPTX2	Nptx2	"behavior/neurological;nervous system;vision/eye"
chr22	39214457	39239987	NPTXR	Nptxr	"nervous system"
chr7	24323782	24331484	NPY	Npy	"adipose tissue;behavior/neurological;digestive/alimentary;growth/size;homeostasis/metabolism;nervous system;normal"
chr4	164245113	164265984	NPY1R	Npy1r	"adipose tissue;behavior/neurological;cardiovascular system;growth/size;hematopoietic system;homeostasis/metabolism;immune system;mortality/aging;muscle;nervous system;normal;reproductive system"
chr4	156129781	156138230	NPY2R	Npy2r	"adipose tissue;behavior/neurological;cardiovascular system;digestive/alimentary;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;liver/biliary system;mortality/aging;nervous system;renal/urinary system;reproductive system;skeleton"
chr4	164265091	164273086	NPY5R	Npy5r	"adipose tissue;behavior/neurological;growth/size;homeostasis/metabolism;liver/biliary system"
chr16	69740899	69760854	NQO1	Nqo1	"adipose tissue;cellular;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;liver/biliary system;tumorigenesis"
chr6	2988221	3019996	NQO2	Nqo2	"behavior/neurological;hematopoietic system;homeostasis/metabolism;immune system;integument;tumorigenesis"
chrX	30322323	30327715	NR0B1	Nr0b1	"endocrine/exocrine gland;homeostasis/metabolism;reproductive system;tumorigenesis"
chr1	27237980	27240457	NR0B2	Nr0b2	"digestive/alimentary;endocrine/exocrine gland;growth/size;homeostasis/metabolism;liver/biliary system;normal;reproductive system"
chr17	38249040	38256978	NR1D1	Nr1d1	"behavior/neurological;growth/size;homeostasis/metabolism;liver/biliary system;muscle;nervous system;reproductive system"
chr19	50832910	50886239	NR1H2	Nr1h2	"behavior/neurological;cardiovascular system;cellular;endocrine/exocrine gland;hematopoietic system;homeostasis/metabolism;immune system;integument;liver/biliary system;mortality/aging;muscle;nervous system;normal;other;reproductive system;skeleton"
chr11	47269851	47290396	NR1H3	Nr1h3	"behavior/neurological;cardiovascular system;cellular;endocrine/exocrine gland;hematopoietic system;homeostasis/metabolism;immune system;liver/biliary system;mortality/aging;muscle;nervous system;normal;other;reproductive system"
chr12	100867486	100958191	NR1H4	Nr1h4	"growth/size;homeostasis/metabolism;liver/biliary system;mortality/aging;no phenotypic analysis"
chr3	119499331	119537332	NR1I2	Nr1i2	"behavior/neurological;homeostasis/metabolism;liver/biliary system;mortality/aging;reproductive system"
chr1	161199456	161208092	NR1I3	Nr1i3	"cellular;growth/size;homeostasis/metabolism;liver/biliary system;mortality/aging;reproductive system"
chr12	95414005	95467479	NR2C1	Nr2c1	"hematopoietic system;normal"
chr3	14989091	15095107	NR2C2	Nr2c2	"adipose tissue;behavior/neurological;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;liver/biliary system;mortality/aging;reproductive system"
chr6	108487262	108510013	NR2E1	Nr2e1	"adipose tissue;behavior/neurological;cardiovascular system;growth/size;nervous system;reproductive system;vision/eye"
chr15	72084977	72110600	NR2E3	Nr2e3	"nervous system;vision/eye"
chr5	92919043	92930321	NR2F1	Nr2f1	"behavior/neurological;hearing/vestibular/ear;mortality/aging;nervous system;no phenotypic analysis;pigmentation;vision/eye"
chr15	96869167	96883492	NR2F2	Nr2f2	"cardiovascular system;digestive/alimentary;embryogenesis;endocrine/exocrine gland;growth/size;homeostasis/metabolism;immune system;mortality/aging;muscle;nervous system;no phenotypic analysis;pigmentation;reproductive system;vision/eye"
chr19	17342692	17356749	NR2F6	Nr2f6	"behavior/neurological;integument;nervous system"
chr5	142657496	142815077	NR3C1	Nr3c1	"adipose tissue;behavior/neurological;cardiovascular system;digestive/alimentary;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;liver/biliary system;mortality/aging;nervous system;no phenotypic analysis;normal;renal/urinary system;reproductive system;respiratory system;skeleton"
chr4	148999913	149365850	NR3C2	Nr3c2	"behavior/neurological;cardiovascular system;growth/size;hematopoietic system;homeostasis/metabolism;mortality/aging;nervous system;renal/urinary system"
chr12	52416616	52453291	NR4A1	Nr4a1	"behavior/neurological;endocrine/exocrine gland;growth/size;hematopoietic system;immune system;integument;liver/biliary system;mortality/aging;tumorigenesis"
chr2	157180944	157198860	NR4A2	Nr4a2	"behavior/neurological;cellular;growth/size;homeostasis/metabolism;mortality/aging;nervous system"
chr9	102584137	102629173	NR4A3	Nr4a3	"behavior/neurological;cellular;embryogenesis;growth/size;hearing/vestibular/ear;hematopoietic system;homeostasis/metabolism;immune system;integument;liver/biliary system;mortality/aging;nervous system;tumorigenesis"
chr9	127243516	127269709	NR5A1	Nr5a1	"behavior/neurological;cardiovascular system;endocrine/exocrine gland;growth/size;homeostasis/metabolism;mortality/aging;nervous system;normal;reproductive system"
chr1	199996730	200146552	NR5A2	Nr5a2	"digestive/alimentary;embryogenesis;endocrine/exocrine gland;growth/size;homeostasis/metabolism;immune system;liver/biliary system;mortality/aging;reproductive system"
chr9	127279554	127533589	NR6A1	Nr6a1	"cardiovascular system;digestive/alimentary;embryogenesis;endocrine/exocrine gland;homeostasis/metabolism;mortality/aging;nervous system;reproductive system;skeleton"
chr9	140194083	140196703	NRARP	Nrarp	"cardiovascular system;reproductive system;vision/eye"
chr1	115247090	115259515	NRAS	Nras	"cardiovascular system;cellular;digestive/alimentary;embryogenesis;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;limbs/digits/tail;liver/biliary system;mortality/aging;normal;vision/eye"
chr7	107788068	108097161	NRCAM	Nrcam	"behavior/neurological;growth/size;mortality/aging;muscle;nervous system;skeleton;vision/eye"
chr1	52254863	52344477	NRD1	Nrd1	"behavior/neurological;growth/size;mortality/aging;nervous system"
chr7	129251555	129396922	NRF1	Nrf1	"cellular;mortality/aging"
chr8	31496902	32622548	NRG1	Nrg1	"behavior/neurological;cardiovascular system;embryogenesis;endocrine/exocrine gland;growth/size;homeostasis/metabolism;integument;mortality/aging;muscle;nervous system;reproductive system;respiratory system"
chr5	139226364	139422884	NRG2	Nrg2	"growth/size;mortality/aging;reproductive system"
chr10	83635070	84746935	NRG3	Nrg3	"endocrine/exocrine gland;integument;reproductive system"
chr15	76228310	76352136	NRG4	Nrg4	"normal"
chr11	124609742	124617106	NRGN	Nrgn	"behavior/neurological;nervous system"
chr21	16333556	16437321	NRIP1	Nrip1	"endocrine/exocrine gland;growth/size;reproductive system"
chr14	24549316	24584223	NRL	Nrl	"nervous system;vision/eye"
chr10	33466420	33625190	NRP1	Nrp1	"cardiovascular system;craniofacial;embryogenesis;growth/size;immune system;mortality/aging;nervous system"
chr2	206546714	206662857	NRP2	Nrp2	"behavior/neurological;cardiovascular system;cellular;craniofacial;embryogenesis;growth/size;homeostasis/metabolism;immune system;integument;mortality/aging;muscle;nervous system;no phenotypic analysis;reproductive system;respiratory system"
chr19	5823813	5828335	NRTN	Nrtn	"behavior/neurological;digestive/alimentary;endocrine/exocrine gland;immune system;muscle;nervous system;reproductive system;vision/eye"
chr2	50145643	51259674	NRXN1	Nrxn1	"mortality/aging;nervous system;respiratory system"
chr11	64373646	64490660	NRXN2	Nrxn2	"growth/size;mortality/aging;nervous system;respiratory system"
chr14	78708734	80330762	NRXN3	Nrxn3	"mortality/aging;nervous system;respiratory system"
chr5	176560026	176727216	NSD1	Nsd1	"embryogenesis;mortality/aging;no phenotypic analysis"
chrX	151999511	152038273	NSDHL	Nsdhl	"behavior/neurological;cardiovascular system;embryogenesis;growth/size;homeostasis/metabolism;integument;limbs/digits/tail;mortality/aging;nervous system;pigmentation;skeleton;vision/eye"
chr8	59496063	59572403	NSMAF	Nsmaf	"hematopoietic system;homeostasis/metabolism;immune system;integument"
chr4	40751914	40812002	NSUN7	Nsun7	"reproductive system"
chr6	86159809	86205500	NT5E	Nt5e	"behavior/neurological;cardiovascular system;hematopoietic system;homeostasis/metabolism;renal/urinary system"
chr16	15131710	15149921	NTAN1	Ntan1	"behavior/neurological;growth/size;hematopoietic system;immune system;mortality/aging"
chr12	5541278	5630702	NTF3	Ntf3	"behavior/neurological;cardiovascular system;growth/size;homeostasis/metabolism;mortality/aging;muscle;nervous system;normal;reproductive system;respiratory system;vision/eye"
chr19	49559050	49568333	NTF4	Ntf5	"behavior/neurological;growth/size;integument;mortality/aging;nervous system"
chr16	2089816	2097867	NTHL1	Nthl1	"behavior/neurological;cellular;homeostasis/metabolism;other;tumorigenesis"
chr17	8924859	9147317	NTN1	Ntn1	"behavior/neurological;endocrine/exocrine gland;hearing/vestibular/ear;integument;mortality/aging;nervous system;reproductive system"
chr1	107682629	108026080	NTNG1	Ntng1	"mortality/aging;nervous system"
chr9	135037334	135119921	NTNG2	Ntng2	"behavior/neurological;hearing/vestibular/ear;mortality/aging"
chr1	156785432	156851642	NTRK1	Ntrk1	"behavior/neurological;growth/size;hearing/vestibular/ear;hematopoietic system;immune system;integument;limbs/digits/tail;mortality/aging;muscle;nervous system;no phenotypic analysis;normal;pigmentation;vision/eye"
chr9	87283466	87638505	NTRK2	Ntrk2	"behavior/neurological;endocrine/exocrine gland;growth/size;hearing/vestibular/ear;homeostasis/metabolism;mortality/aging;nervous system;normal;reproductive system;respiratory system;vision/eye"
chr15	88418230	88799999	NTRK3	Ntrk3	"behavior/neurological;cardiovascular system;growth/size;hearing/vestibular/ear;mortality/aging;nervous system;no phenotypic analysis;normal;respiratory system"
chr12	86268073	86276770	NTS	Nts	"homeostasis/metabolism;no phenotypic analysis"
chr20	61340189	61394123	NTSR1	Ntsr1	"adipose tissue;behavior/neurological;digestive/alimentary;growth/size;hearing/vestibular/ear;homeostasis/metabolism;integument;nervous system;normal"
chr2	11798304	11810290	NTSR2	Ntsr2	"behavior/neurological;hearing/vestibular/ear;integument;nervous system"
chr12	106457118	106533811	NUAK1	Nuak1	"growth/size;mortality/aging;nervous system"
chr1	205271187	205290883	NUAK2	Nuak2	"digestive/alimentary;endocrine/exocrine gland;growth/size;homeostasis/metabolism;mortality/aging;nervous system;tumorigenesis"
chr11	17229700	17371521	NUCB2	Nucb2	"cardiovascular system;homeostasis/metabolism"
chr7	2281857	2290781	NUDT1	Nudt1	"cellular;tumorigenesis"
chr11	71713910	71791739	NUMA1	Numa1	"behavior/neurological;cellular;mortality/aging;nervous system"
chr14	73741815	73930348	NUMB	Numb	"behavior/neurological;cardiovascular system;cellular;embryogenesis;growth/size;hearing/vestibular/ear;hematopoietic system;homeostasis/metabolism;mortality/aging;nervous system;normal;other;reproductive system"
chr19	41172596	41196877	NUMBL	Numbl	"behavior/neurological;embryogenesis;growth/size;hearing/vestibular/ear;hematopoietic system;mortality/aging;nervous system;normal;other;reproductive system"
chr1	229577045	229644103	NUP133	Nup133	"cardiovascular system;embryogenesis;growth/size;homeostasis/metabolism;mortality/aging;nervous system"
chr5	37288239	37371283	NUP155	Nup155	"cardiovascular system;mortality/aging;nervous system"
chr9	134000948	134110057	NUP214	Nup214	"cellular;embryogenesis;mortality/aging"
chr22	45559722	45583896	NUP50	Nup50	"embryogenesis;growth/size;mortality/aging;nervous system"
chr11	3692313	3819022	NUP98	Nup98	"embryogenesis;growth/size;hematopoietic system;immune system;mortality/aging"
chr16	28548606	28550495	NUPR1	Nupr1	"cellular;endocrine/exocrine gland;homeostasis/metabolism;reproductive system"
chr15	41624892	41673248	NUSAP1	Nusap1	"cellular;embryogenesis;growth/size;mortality/aging"
chr11	62559595	62573774	NXF1	Nxf1	"behavior/neurological;hearing/vestibular/ear;integument;mortality/aging;nervous system;pigmentation;renal/urinary system"
chrX	101470280	101581634	NXF2	Nxf2	"endocrine/exocrine gland;mortality/aging;no phenotypic analysis;reproductive system"
chr17	702553	883010	NXN	Nxn	"cardiovascular system;cellular;craniofacial;growth/size;mortality/aging;skeleton"
chr7	8473585	8792593	NXPH1	Nxph1	"growth/size;mortality/aging;reproductive system"
chr17	47653220	47661189	NXPH3	Nxph3	"behavior/neurological;growth/size;hearing/vestibular/ear;mortality/aging;nervous system;normal;reproductive system"
chrX	41306687	41334963	NYX	Nyx	"vision/eye"
chr10	126085872	126107545	OAT	Oat	"behavior/neurological;homeostasis/metabolism;mortality/aging;nervous system;pigmentation;renal/urinary system;vision/eye"
chr1	151735445	151743808	OAZ3	Oaz3	"reproductive system"
chr1	228395831	228566577	OBSCN	Obscn	"muscle"
chr8	133036467	133071627	OC90	Oc90	"hearing/vestibular/ear;normal"
chr15	28000021	28344504	OCA2	Oca2	"adipose tissue;behavior/neurological;craniofacial;digestive/alimentary;endocrine/exocrine gland;growth/size;hearing/vestibular/ear;hematopoietic system;homeostasis/metabolism;immune system;integument;liver/biliary system;mortality/aging;no phenotypic analysis;normal;pigmentation;renal/urinary system;reproductive system;skeleton;vision/eye"
chr5	68788119	68853931	OCLN	Ocln	"behavior/neurological;digestive/alimentary;endocrine/exocrine gland;growth/size;homeostasis/metabolism;immune system;limbs/digits/tail;muscle;nervous system;reproductive system;skeleton"
chr7	97613996	97620481	OCM2	Ocm	"hearing/vestibular/ear;no phenotypic analysis"
chrX	128673826	128726538	OCRL	Ocrl	"homeostasis/metabolism;mortality/aging;normal;other;reproductive system;vision/eye"
chr2	10580094	10588630	ODC1	Odc1	"embryogenesis;mortality/aging;normal"
chr9	131217465	131263571	ODF2	Odf2	"mortality/aging;reproductive system"
chrX	13752832	13787480	OFD1	Ofd1	"cardiovascular system;craniofacial;digestive/alimentary;embryogenesis;growth/size;limbs/digits/tail;mortality/aging;nervous system;renal/urinary system;respiratory system;skeleton"
chr3	9791628	9829903	OGG1	Ogg1	"cellular;homeostasis/metabolism;liver/biliary system;mortality/aging;normal;tumorigenesis"
chr9	95146249	95166978	OGN	Ogn	"integument;vision/eye"
chrX	70752933	70795747	OGT	Ogt	"behavior/neurological;cellular;growth/size;hematopoietic system;immune system;mortality/aging;normal;reproductive system"
chr9	137967268	138013025	OLFM1	Olfm1	"homeostasis/metabolism;nervous system;no phenotypic analysis;reproductive system"
chr13	53602894	53626192	OLFM4	Olfm4	"digestive/alimentary;hematopoietic system;homeostasis/metabolism;immune system"
chr1	114522063	114524876	OLFML3	Olfml3	"normal"
chr21	34442450	34444726	OLIG1	Olig1	"growth/size;mortality/aging;nervous system"
chr21	34398153	34401504	OLIG2	Olig2	"behavior/neurological;growth/size;mortality/aging;muscle;nervous system;no phenotypic analysis;respiratory system;tumorigenesis;vision/eye"
chr6	137813336	137815531	OLIG3	Olig3	"homeostasis/metabolism;mortality/aging;nervous system;no phenotypic analysis;respiratory system"
chr12	10310902	10324737	OLR1	Olr1	"cardiovascular system;homeostasis/metabolism;immune system;muscle;normal"
chr9	95176527	95186743	OMD	Omd	"behavior/neurological"
chr17	29599031	29624557	OMG	Omg	"homeostasis/metabolism;no phenotypic analysis;normal"
chr11	76813886	76814377	OMP	Omp	"homeostasis/metabolism;nervous system;no phenotypic analysis;taste/olfaction"
chr15	53049637	53083273	ONECUT1	Onecut1	"cardiovascular system;digestive/alimentary;endocrine/exocrine gland;growth/size;homeostasis/metabolism;immune system;liver/biliary system;mortality/aging"
chr18	55102917	55158529	ONECUT2	Onecut2	"endocrine/exocrine gland;liver/biliary system"
chr19	1752372	1780987	ONECUT3	Onecut3	"endocrine/exocrine gland"
chr6	74078278	74104856	OOEP	Ooep	"embryogenesis;other;reproductive system"
chr3	193310933	193415612	OPA1	Opa1	"adipose tissue;behavior/neurological;cardiovascular system;cellular;craniofacial;embryogenesis;growth/size;hearing/vestibular/ear;homeostasis/metabolism;mortality/aging;muscle;nervous system;reproductive system;vision/eye"
chr11	132284871	133402414	OPCML	Opcml	"no phenotypic analysis"
chrX	67262186	67653755	OPHN1	Ophn1	"behavior/neurological;mortality/aging;nervous system"
chrX	153448107	153461633	OPN1MW	Opn1mw	"vision/eye"
chr10	88414314	88426605	OPN4	Opn4	"behavior/neurological;homeostasis/metabolism;nervous system;vision/eye"
chr1	29138654	29190208	OPRD1	Oprd1	"behavior/neurological;homeostasis/metabolism;integument;nervous system;no phenotypic analysis"
chr8	54138284	54164257	OPRK1	Oprk1	"behavior/neurological;digestive/alimentary;endocrine/exocrine gland;integument;reproductive system"
chr20	62711526	62731996	OPRL1	Oprl1	"behavior/neurological;hearing/vestibular/ear;integument;nervous system;normal"
chr6	154331631	154568001	OPRM1	Oprm1	"adipose tissue;behavior/neurological;digestive/alimentary;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;mortality/aging;nervous system;no phenotypic analysis;normal;reproductive system"
chr11	6890924	6891976	OR10A2	Olfr714	"nervous system"
chr11	6897856	6898850	OR10A4	Olfr17	"nervous system;no phenotypic analysis"
chr11	6866883	6867936	OR10A5	Olfr713	"nervous system"
chr1	159504793	159505842	OR10J5	Olfr16	"nervous system;no phenotypic analysis"
chr11	4701401	4719084	OR51E2	Olfr78	"nervous system;no phenotypic analysis"
chr12	122064455	122080583	ORAI1	Orai1	"cellular;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;mortality/aging;nervous system;vision/eye"
chr22	30658818	30662829	OSM	Osm	"behavior/neurological;integument;nervous system"
chr5	38845960	38945698	OSMR	Osmr	"hematopoietic system;no phenotypic analysis"
chr2	19551246	19558414	OSR1	Osr1	"cardiovascular system;embryogenesis;endocrine/exocrine gland;homeostasis/metabolism;mortality/aging;normal;renal/urinary system;reproductive system;respiratory system"
chr8	99956631	99964332	OSR2	Osr2	"craniofacial;digestive/alimentary;hearing/vestibular/ear;mortality/aging;normal;skeleton;vision/eye"
chr6	108362613	108487058	OSTM1	Ostm1	"behavior/neurological;craniofacial;growth/size;homeostasis/metabolism;immune system;integument;mortality/aging;pigmentation;skeleton;vision/eye"
chrX	38211798	38280703	OTC	Otc	"behavior/neurological;cellular;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;liver/biliary system;mortality/aging;nervous system;renal/urinary system;reproductive system"
chr2	26680071	26781566	OTOF	Otof	"behavior/neurological;hearing/vestibular/ear;nervous system"
chr11	17568920	17668697	OTOG	Otog	"behavior/neurological;hearing/vestibular/ear;reproductive system"
chr4	4190530	4228616	OTOP1	Otop1	"behavior/neurological;hearing/vestibular/ear;nervous system"
chr2	241078446	241083979	OTOS	Otos	"hearing/vestibular/ear;nervous system"
chr5	76924538	76935513	OTP	Otp	"endocrine/exocrine gland;growth/size;mortality/aging;nervous system"
chrX	48779305	48815648	OTUD5	Otud5	"embryogenesis"
chr2	63277192	63284971	OTX1	Otx1	"behavior/neurological;craniofacial;digestive/alimentary;endocrine/exocrine gland;growth/size;hearing/vestibular/ear;homeostasis/metabolism;mortality/aging;nervous system;reproductive system;skeleton;vision/eye"
chr14	57267425	57277197	OTX2	Otx2	"behavior/neurological;cardiovascular system;craniofacial;digestive/alimentary;embryogenesis;endocrine/exocrine gland;growth/size;hearing/vestibular/ear;homeostasis/metabolism;mortality/aging;muscle;nervous system;normal;pigmentation;reproductive system;respiratory system;skeleton;taste/olfaction;vision/eye"
chr1	111956936	111970399	OVGP1	Ovgp1	"reproductive system"
chr11	65554493	65564690	OVOL1	Ovol1	"endocrine/exocrine gland;growth/size;homeostasis/metabolism;integument;mortality/aging;renal/urinary system;reproductive system"
chr20	17937623	18039832	OVOL2	Ovol2	"cardiovascular system;cellular;craniofacial;digestive/alimentary;embryogenesis;growth/size;hearing/vestibular/ear;mortality/aging;muscle;nervous system;vision/eye"
chr3	38206580	38296979	OXSR1	Oxsr1	"mortality/aging"
chr20	3052266	3053163	OXT	Oxt	"behavior/neurological;cardiovascular system;digestive/alimentary;endocrine/exocrine gland;homeostasis/metabolism;integument;mortality/aging;nervous system;renal/urinary system;reproductive system"
chr3	8792094	8811314	OXTR	Oxtr	"behavior/neurological;endocrine/exocrine gland;growth/size;integument;muscle;nervous system;no phenotypic analysis;normal;reproductive system"
chr17	3799886	3819794	P2RX1	P2rx1	"cardiovascular system;reproductive system"
chr12	133195366	133198972	P2RX2	P2rx2	"cardiovascular system;homeostasis/metabolism;immune system;mortality/aging;respiratory system"
chr11	57105848	57138073	P2RX3	P2rx3	"behavior/neurological;cardiovascular system;homeostasis/metabolism;immune system;integument;mortality/aging;nervous system;respiratory system"
chr12	121647660	121671909	P2RX4	P2rx4	"cardiovascular system;homeostasis/metabolism;immune system;muscle;nervous system;renal/urinary system"
chr12	121570622	121623876	P2RX7	P2rx7	"behavior/neurological;cardiovascular system;cellular;growth/size;hematopoietic system;immune system;integument;limbs/digits/tail;skeleton"
chr3	152552736	152555841	P2RY1	P2ry1	"hematopoietic system;homeostasis/metabolism"
chr3	151055168	151102600	P2RY12	P2ry12	"hematopoietic system;homeostasis/metabolism"
chr3	151044100	151047336	P2RY13	P2ry13	"cellular;homeostasis/metabolism;liver/biliary system"
chr3	150929905	150996255	P2RY14	P2ry14	"muscle"
chr11	72929343	72947397	P2RY2	P2ry2	"homeostasis/metabolism;nervous system"
chrX	69478016	69479654	P2RY4	P2ry4	"digestive/alimentary;mortality/aging"
chr11	72975550	73009662	P2RY6	P2ry6	"cardiovascular system;immune system;muscle;no phenotypic analysis"
chr10	74766975	74856732	P4HA1	P4ha1	"cardiovascular system;cellular;embryogenesis;growth/size;integument;mortality/aging;other"
chr12	56498103	56507691	PA2G4	Pa2g4	"cellular;growth/size;limbs/digits/tail;reproductive system"
chr14	105766900	105864484	PACS2	Pacs2	"cellular;homeostasis/metabolism"
chr1	17698691	17728195	PADI6	Padi6	"embryogenesis;reproductive system"
chr17	2496504	2588909	PAFAH1B1	Pafah1b1	"behavior/neurological;endocrine/exocrine gland;growth/size;mortality/aging;nervous system;reproductive system"
chr11	117014983	117047610	PAFAH1B2	Pafah1b2	"embryogenesis;endocrine/exocrine gland;reproductive system"
chr19	42801185	42807698	PAFAH1B3	Pafah1b3	"embryogenesis;endocrine/exocrine gland;normal;reproductive system"
chr1	26286258	26324648	PAFAH2	Pafah2	"cellular;homeostasis/metabolism;liver/biliary system"
chr8	81880045	82024303	PAG1	Pag1	"hematopoietic system;immune system"
chr12	103230663	103352188	PAH	Pah	"behavior/neurological;craniofacial;growth/size;homeostasis/metabolism;integument;nervous system;pigmentation;renal/urinary system;reproductive system;vision/eye"
