## id.devdelay.genes
## ID genes from OMIM, HUGO, multiple reviews; DD genes from DECIPHER
## hg19, source=gm.id_devdelay created=10JUL2015:19:02:49
## PGC bioinformatics, PF Sullivan & Johan Kallberg, Karolinska Institutet, (c) 2016
## Rows: 5 comments, header, 1518 entries. Columns: 5
#chr	bp1	bp2	geneName	type
chr3	167401086	167452727	PDCD10	"developmental delay"
chr5	58264865	59817947	PDE4D	"developmental delay"
chr17	79617489	79630142	PDE6G	"developmental delay"
chr12	15125956	15134799	PDE6H	"developmental delay"
chr5	149493400	149535435	PDGFRB	"developmental delay"
chrX	19362011	19379823	PDHA1	"intellectual disability // developmental delay"
chr11	34937376	35042138	PDHX	"intellectual disability // developmental delay"
chr10	26986588	27035727	PDSS1	"developmental delay"
chr6	107473761	107780768	PDSS2	"developmental delay"
chr2	216861052	216947678	PECR	"intellectual disability // developmental delay"
chr19	33877856	34012700	PEPD	"intellectual disability // developmental delay"
chr19	7694623	7696842	PET100	"developmental delay"
chr7	92116334	92157845	PEX1	"intellectual disability // developmental delay"
chr1	2336236	2345236	PEX10	"intellectual disability // developmental delay"
chr17	33901814	33905882	PEX12	"intellectual disability // developmental delay"
chr2	61244360	61279125	PEX13	"intellectual disability // developmental delay"
chr1	10532345	10690815	PEX14	"developmental delay"
chr11	45931220	45940363	PEX16	"intellectual disability // developmental delay"
chr1	160246602	160256138	PEX19	"intellectual disability // developmental delay"
chr8	77892494	77913280	PEX2	"intellectual disability // developmental delay"
chr22	18560689	18613905	PEX26	"developmental delay"
chr6	143771944	143811147	PEX3	"intellectual disability // developmental delay"
chr12	7341281	7371170	PEX5	"intellectual disability // developmental delay"
chr6	42931608	42946958	PEX6	"intellectual disability // developmental delay"
chr6	137143717	137235075	PEX7	"intellectual disability // developmental delay"
chr11	3818954	3847601	PGAP2	"intellectual disability // developmental delay"
chr17	37827375	37853050	PGAP3	"intellectual disability // developmental delay"
chrX	77320685	77384793	PGK1	"intellectual disability // developmental delay"
chr6	83870869	83903655	PGM3	"developmental delay"
chr6	12717893	13288645	PHACTR1	"intellectual disability"
chr12	9066492	9094063	PHC1	"developmental delay"
chr11	45950871	46142985	PHF21A	"developmental delay"
chrX	133507283	133562820	PHF6	"intellectual disability // developmental delay"
chrX	53963109	54075391	PHF8	"intellectual disability // developmental delay"
chr1	120202421	120286838	PHGDH	"developmental delay"
chr6	79645584	79787953	PHIP	"intellectual disability // developmental delay"
chr4	41746099	41750987	PHOX2B	"developmental delay"
chr18	10666480	11148587	PIEZO2	"developmental delay"
chrX	15337573	15353676	PIGA	"developmental delay"
chr17	16120505	16252115	PIGL	"developmental delay"
chr18	59710800	59854351	PIGN	"developmental delay"
chr9	35088685	35096591	PIGO	"intellectual disability // developmental delay"
chr1	27113963	27124889	PIGV	"intellectual disability // developmental delay"
chr3	178865902	178957881	PIK3CA	"developmental delay"
chr5	67511548	67597649	PIK3R1	"developmental delay"
chr19	18263968	18288927	PIK3R2	"developmental delay"
chr19	3630181	3700477	PIP5K1C	"developmental delay"
chr5	134363425	134370503	PITX1	"developmental delay"
chr4	111538579	111563279	PITX2	"developmental delay"
chr10	103989943	104001231	PITX3	"developmental delay"
chr6	51480098	51952423	PKHD1	"developmental delay"
chr22	38507502	38601697	PLA2G6	"developmental delay"
chr20	8112824	8949003	PLCB1	"developmental delay"
chr20	9049410	9461889	PLCB4	"developmental delay"
chr10	95753746	96092580	PLCE1	"developmental delay"
chr16	81772702	81991899	PLCG2	"developmental delay"
chr8	144989321	145050902	PLEC	"developmental delay"
chr4	128802016	128820350	PLK4	"developmental delay"
chr1	11994262	12035595	PLOD1	"developmental delay"
chr3	145787227	145881440	PLOD2	"developmental delay"
chr7	100849258	100861701	PLOD3	"developmental delay"
chrX	103028647	103047548	PLP1	"intellectual disability // developmental delay"
chr3	129274018	129325661	PLXND1	"developmental delay"
chr16	8882680	8943188	PMM2	"intellectual disability // developmental delay"
chr7	6012870	6048756	PMS2	"developmental delay"
chr19	50364461	50371166	PNKP	"developmental delay"
chr6	36210980	36276372	PNPLA1	"developmental delay"
chr11	818902	825573	PNPLA2	"developmental delay"
chr2	55861400	55921045	PNPT1	"developmental delay"
chr3	52109269	52188706	POC1A	"developmental delay"
chr12	89813495	89919801	POC1B	"developmental delay"
chr1	151375200	151431941	POGZ	"intellectual disability // developmental delay"
chr19	50887461	50921273	POLD1	"developmental delay"
chr6	43477440	43497323	POLR1C	"developmental delay"
chr13	28194903	28241548	POLR1D	"developmental delay"
chr10	79734907	79789303	POLR3A	"developmental delay"
chr12	106751436	106903976	POLR3B	"intellectual disability // developmental delay"
chr1	46654354	46685977	POMGNT1	"intellectual disability // developmental delay"
chr3	43120724	43147568	POMGNT2	"developmental delay"
chr13	29233241	29253062	POMP	"developmental delay"
chr9	134378289	134399193	POMT1	"intellectual disability // developmental delay"
chr14	77741299	77787227	POMT2	"intellectual disability // developmental delay"
chrX	48367350	48379202	PORCN	"intellectual disability // developmental delay"
chr3	87308554	87325737	POU1F1	"intellectual disability // developmental delay"
chr1	161136200	161147803	PPOX	"intellectual disability"
chr19	52693292	52730687	PPP2R1A	"intellectual disability // developmental delay"
chr6	42952237	42980080	PPP2R5D	"intellectual disability // developmental delay"
chr1	40538379	40563375	PPT1	"intellectual disability // developmental delay"
chrX	48755195	48760420	PQBP1	"intellectual disability // developmental delay"
chr2	44543420	44589001	PREPL	"developmental delay"
chr17	66507921	66547460	PRKAR1A	"developmental delay"
chr19	54382444	54410906	PRKCG	"intellectual disability"
chr2	179296141	179316239	PRKRA	"intellectual disability"
chr5	177419236	177423243	PROP1	"developmental delay"
chr14	75319736	75330537	PROX2	"intellectual disability"
chrX	106871737	106894256	PRPS1	"intellectual disability // developmental delay"
chr16	29823177	29827201	PRRT2	"intellectual disability // developmental delay"
chr1	170631869	170708560	PRRX1	"developmental delay"
chr4	119201193	119274158	PRSS12	"intellectual disability // developmental delay"
chr2	233385173	233390422	PRSS56	"developmental delay"
chr10	73576055	73611126	PSAP	"intellectual disability // developmental delay"
chr9	80912059	80945009	PSAT1	"developmental delay"
chr20	60711791	60718496	PSMA7	"intellectual disability"
chr6	32808494	32812480	PSMB8	"developmental delay"
chr7	56078744	56119297	PSPH	"developmental delay"
chr9	98205262	98279339	PTCH1	"intellectual disability // developmental delay"
chr1	45285516	45308735	PTCH2	"intellectual disability"
chrX	23352133	23422489	PTCHD1	"developmental delay"
chr8	97273943	97349223	PTDSS1	"developmental delay"
chr10	89622870	89731687	PTEN	"intellectual disability // developmental delay"
chr10	23481256	23483181	PTF1A	"developmental delay"
chr11	13513602	13517728	PTH	"developmental delay"
chr3	46919236	46945287	PTH1R	"developmental delay"
chr12	28111017	28125638	PTHLH	"developmental delay"
chr12	112856155	112947717	PTPN11	"intellectual disability // developmental delay"
chr1	214522039	214725792	PTPN14	"developmental delay"
chr1	43990858	44089343	PTPRF	"developmental delay"
chr12	80799774	81072802	PTPRQ	"developmental delay"
chr11	112097088	112140678	PTS	"intellectual disability // developmental delay"
chr8	144898514	144912029	PUF60	"developmental delay"
chr5	139487362	139496321	PURA	"intellectual disability // developmental delay"
chr11	119494120	119599794	PVRL1	"intellectual disability // developmental delay"
chr1	161040785	161059389	PVRL4	"developmental delay"
chr2	1635659	1748624	PXDN	"developmental delay"
chr17	79890260	79900288	PYCR1	"developmental delay"
chr14	51324609	51411454	PYGL	"developmental delay"
chr3	49133365	49142553	QARS	"developmental delay"
chr4	17461884	17513857	QDPR	"intellectual disability // developmental delay"
chr6	163835032	163999628	QKI	"developmental delay"
chr10	27793197	27831143	RAB18	"developmental delay"
chr6	57053607	57087078	RAB23	"developmental delay"
chrX	154487526	154493874	RAB39B	"intellectual disability // developmental delay"
chr2	135809835	135933964	RAB3GAP1	"intellectual disability // developmental delay"
chr1	220321635	220445796	RAB3GAP2	"developmental delay"
chr9	139702374	139735639	RABL6	"intellectual disability // developmental delay"
chr8	117858174	117887105	RAD21	"developmental delay"
chr5	131891711	131980313	RAD50	"developmental delay"
chr15	40986972	41024354	RAD51	"developmental delay"
chr17	56769934	56811703	RAD51C	"developmental delay"
chr3	12625100	12705725	RAF1	"intellectual disability // developmental delay"
chr17	17584787	17714767	RAI1	"intellectual disability // developmental delay"
chr9	135973107	136039301	RALGDS	"intellectual disability // developmental delay"
chr2	109335937	109402267	RANBP2	"developmental delay"
chr9	134452157	134615461	RAPGEF1	"intellectual disability"
chr3	25215823	25639423	RARB	"developmental delay"
chr6	88224096	88299721	RARS2	"developmental delay"
chr5	86563705	86687748	RASA1	"developmental delay"
chr18	56934267	56941318	RAX	"developmental delay"
chrX	47004268	47046212	RBM10	"developmental delay"
chr7	127937738	127983962	RBM28	"developmental delay"
chr1	145507598	145513536	RBM8A	"developmental delay"
chr4	26165077	26436541	RBPJ	"developmental delay"
chr8	145736667	145743229	RECQL4	"developmental delay"
chr7	103112231	103629963	RELN	"intellectual disability // developmental delay"
chr10	43572475	43625799	RET	"developmental delay"
chr3	53122499	53164478	RFT1	"developmental delay"
chr6	117198375	117253326	RFX6	"developmental delay"
chr1	240931554	241520530	RGS7	"intellectual disability // developmental delay"
chr21	43159529	43187266	RIPK4	"developmental delay"
chr1	155867599	155881195	RIT1	"developmental delay"
chr6	151725989	151773259	RMND1	"developmental delay"
chr19	12917394	12924452	RNASEH2A	"developmental delay"
chr13	51483814	51544592	RNASEH2B	"developmental delay"
chr11	65482367	65488418	RNASEH2C	"developmental delay"
chr6	167342992	167370679	RNASET2	"developmental delay"
chr17	29295803	29326929	RNF135	"developmental delay"
chr3	196195654	196230639	RNF168	"developmental delay"
chr2	122288457	122288583	RNU4ATAC	"developmental delay"
chr11	124735282	124751366	ROBO3	"developmental delay"
chr16	4846969	4852951	ROGDI	"developmental delay"
chr9	94325373	94712444	ROR2	"developmental delay"
chr1	68894505	68915642	RPE65	"developmental delay"
chr14	21756098	21819460	RPGRIP1	"developmental delay"
chr16	53631595	53737850	RPGRIP1L	"developmental delay"
chrX	153618315	153637504	RPL10	"intellectual disability"
chr19	42363988	42376994	RPS19	"developmental delay"
chrX	20168029	20285523	RPS6KA3	"intellectual disability // developmental delay"
chr19	50138549	50143458	RRAS	"developmental delay"
chr21	43892596	43916464	RSPH1	"developmental delay"
chr20	939095	982907	RSPO4	"developmental delay"
chr20	62289163	62328416	RTEL1	"developmental delay"
chr18	67671029	67873181	RTTN	"developmental delay"
chr6	45295894	45632086	RUNX2	"developmental delay"
chr19	38924339	39078204	RYR1	"developmental delay"
chr13	23902965	24007841	SACS	"developmental delay"
chr16	51169886	51185278	SALL1	"developmental delay"
chr20	50400581	50419059	SALL4	"developmental delay"
chr20	35518632	35580246	SAMHD1	"developmental delay"
chr5	133936834	133984961	SAR1B	"intellectual disability"
chr2	200134223	200335989	SATB2	"intellectual disability // developmental delay"
chr7	66452664	66460588	SBDS	"developmental delay"
chr11	121163162	121179403	SC5D	"intellectual disability // developmental delay"
chr15	76640526	77197785	SCAPER	"intellectual disability // developmental delay"
chr22	20778874	20792146	SCARF2	"developmental delay"
chr3	38887260	38992052	SCN11A	"developmental delay"
chr2	166845670	166984523	SCN1A	"developmental delay"
chr19	35521588	35531352	SCN1B	"developmental delay"
chr2	166095912	166248818	SCN2A	"intellectual disability // developmental delay"
chr17	62015914	62050278	SCN4A	"developmental delay"
chr12	51984050	52206648	SCN8A	"intellectual disability // developmental delay"
chr17	10583654	10601692	SCO1	"developmental delay"
chr22	50961997	50964868	SCO2	"intellectual disability // developmental delay"
chr8	144873090	144897549	SCRIB	"developmental delay"
chr1	243419320	243663394	SDCCAG8	"developmental delay"
chr5	218356	256815	SDHA	"intellectual disability // developmental delay"
chr19	36486090	36487220	SDHAF1	"developmental delay"
chr14	39501123	39578850	SEC23A	"developmental delay"
chr20	18488137	18542059	SEC23B	"developmental delay"
chr9	91933421	91974557	SECISBP2	"developmental delay"
chr6	2948393	2972090	SERPINB6	"developmental delay"
chr18	42260138	42648475	SETBP1	"intellectual disability // developmental delay"
chr3	9439299	9520924	SETD5	"intellectual disability // developmental delay"
chr1	149895209	149900236	SF3B4	"developmental delay"
chr17	78180515	78194722	SGSH	"intellectual disability // developmental delay"
chr5	171752185	171881527	SH3PXD2B	"developmental delay"
chr19	51165084	51222707	SHANK1	"developmental delay"
chr11	70313961	70963623	SHANK2	"intellectual disability // developmental delay"
chr22	51112843	51171726	SHANK3	"intellectual disability // developmental delay"
chr7	155592680	155604967	SHH	"intellectual disability // developmental delay"
chr10	112679301	112773425	SHOC2	"intellectual disability // developmental delay"
chrX	585079	620146	SHOX	"developmental delay"
chrX	50334647	50557302	SHROOM4	"intellectual disability"
chr5	138282409	138629246	SIL1	"developmental delay"
chr14	61110133	61124977	SIX1	"developmental delay"
chr2	45168902	45173216	SIX3	"intellectual disability // developmental delay"
chr19	46268043	46272484	SIX5	"developmental delay"
chr14	60975669	60979568	SIX6	"developmental delay"
chr1	2160134	2241558	SKI	"developmental delay"
chr6	31926857	31937532	SKIV2L	"developmental delay"
chr15	48483861	48596275	SLC12A1	"intellectual disability"
chr15	34525460	34630261	SLC12A6	"intellectual disability // developmental delay"
chr17	6588032	6616886	SLC13A5	"developmental delay"
chrX	73641085	73753752	SLC16A2	"intellectual disability // developmental delay"
chr6	74303102	74363878	SLC17A5	"intellectual disability // developmental delay"
chr2	228549926	228582728	SLC19A3	"developmental delay"
chr5	131705444	131731306	SLC22A5	"developmental delay"
chr15	65903704	65953333	SLC24A1	"developmental delay"
chr14	92788925	92962596	SLC24A4	"developmental delay"
chr13	41363548	41384247	SLC25A15	"intellectual disability // developmental delay"
chr17	73269073	73285591	SLC25A19	"developmental delay"
chr3	48894369	48936426	SLC25A20	"developmental delay"
chr11	790475	798316	SLC25A22	"developmental delay"
chr3	39424839	39438842	SLC25A38	"developmental delay"
chr5	149340300	149373018	SLC26A2	"developmental delay"
chr9	131102925	131123749	SLC27A4	"developmental delay"
chr1	43391052	43424530	SLC2A1	"intellectual disability // developmental delay"
chr20	45338126	45364965	SLC2A10	"developmental delay"
chr3	170714137	170744539	SLC2A2	"developmental delay"
chr9	115983808	116028674	SLC31A1	"intellectual disability // developmental delay"
chr3	155538813	155572218	SLC33A1	"developmental delay"
chr6	88180341	88222054	SLC35A1	"developmental delay"
chrX	48760459	48769235	SLC35A2	"developmental delay"
chr11	45825623	45834566	SLC35C1	"intellectual disability // developmental delay"
chr1	67465015	67519782	SLC35D1	"developmental delay"
chr11	47428683	47438047	SLC39A13	"developmental delay"
chr2	44502599	44548633	SLC3A1	"intellectual disability"
chr17	26721661	26734215	SLC46A1	"developmental delay"
chr17	42325753	42345509	SLC4A1	"developmental delay"
chr20	3208063	3219836	SLC4A11	"developmental delay"
chr4	72053003	72437804	SLC4A4	"intellectual disability // developmental delay"
chr20	740724	749131	SLC52A3	"developmental delay"
chr19	17982782	18005983	SLC5A5	"intellectual disability // developmental delay"
chr3	11034410	11080933	SLC6A1	"intellectual disability"
chr1	110693108	110744824	SLC6A17	"intellectual disability"
chr5	1392909	1445545	SLC6A3	"developmental delay"
chr11	20620946	20680831	SLC6A5	"developmental delay"
chrX	152953554	152962048	SLC6A8	"intellectual disability // developmental delay"
chr14	23242431	23299029	SLC7A7	"intellectual disability"
chrX	135067598	135129423	SLC9A6	"intellectual disability // developmental delay"
chr3	142984064	143567373	SLC9A9	"developmental delay"
chr16	3631182	3661599	SLX4	"developmental delay"
chr18	45357922	45457515	SMAD2	"developmental delay"
chr15	67356101	67487533	SMAD3	"developmental delay"
chr18	48494410	48611415	SMAD4	"developmental delay"
chr9	2015342	2193624	SMARCA2	"developmental delay"
chr19	11071598	11176071	SMARCA4	"intellectual disability // developmental delay"
chr2	217277137	217347776	SMARCAL1	"developmental delay"
chr22	24129150	24176703	SMARCB1	"intellectual disability // developmental delay"
chr17	38781214	38804760	SMARCE1	"developmental delay"
chrX	53401070	53449677	SMC1A	"intellectual disability // developmental delay"
chr10	112327449	112364394	SMC3	"developmental delay"
chr18	2655737	2805015	SMCHD1	"developmental delay"
chr14	70320848	70499083	SMOC1	"developmental delay"
chr6	168841831	169073984	SMOC2	"developmental delay"
chr11	6411655	6416228	SMPD1	"intellectual disability // developmental delay"
chrX	21958691	22025798	SMS	"intellectual disability // developmental delay"
chr22	21213271	21245506	SNAP29	"developmental delay"
chr1	38000050	38019903	SNIP1	"developmental delay"
chr20	2442280	2451499	SNRPB	"developmental delay"
chr1	203830731	203839678	SNRPE	"developmental delay"
chr6	86215214	86303874	SNX14	"developmental delay"
chr6	108532426	108582464	SNX3	"developmental delay"
chr6	107811162	107981357	SOBP	"intellectual disability // developmental delay"
chr2	39208537	39351486	SOS1	"intellectual disability // developmental delay"
chr22	38366693	38383429	SOX10	"intellectual disability // developmental delay"
chr2	5832799	5841516	SOX11	"intellectual disability // developmental delay"
chr8	55370495	55373448	SOX17	"developmental delay"
chr3	181429714	181432221	SOX2	"developmental delay"
chrX	139585152	139587225	SOX3	"intellectual disability // developmental delay"
chr17	70117161	70122561	SOX9	"developmental delay"
chr8	101170134	101271506	SPAG1	"developmental delay"
chr22	24666786	24813708	SPECC1L	"developmental delay"
chr2	220299568	220363009	SPEG	"developmental delay"
chr15	44854894	44955876	SPG11	"developmental delay"
chr16	29674300	29682187	SPN	"intellectual disability"
chr2	73114489	73119287	SPR	"developmental delay"
chr15	38544527	38649450	SPRED1	"intellectual disability // developmental delay"
chr1	231472850	231490769	SPRTN	"developmental delay"
chr9	131314866	131395941	SPTAN1	"developmental delay"
chr14	77972340	78083116	SPTLC2	"developmental delay"
chr16	30709530	30755602	SRCAP	"developmental delay"
chr4	56212276	56239263	SRD5A3	"intellectual disability // developmental delay"
chr3	9022275	9404737	SRGAP3	"intellectual disability // developmental delay"
chrX	99899215	99926296	SRPX2	"intellectual disability // developmental delay"
chrY	2654896	2655740	SRY	"developmental delay"
chr11	130029457	130080271	ST14	"developmental delay"
chr16	70413338	70473140	ST3GAL2	"intellectual disability"
chr1	44171495	44396831	ST3GAL3	"intellectual disability // developmental delay"
chr2	86066267	86116137	ST3GAL5	"developmental delay"
chr3	136055077	136471220	STAG1	"intellectual disability"
chr2	74056086	74100786	STAMBP	"developmental delay"
chr8	38001167	38008783	STAR	"developmental delay"
chr2	191829084	191885686	STAT1	"developmental delay"
chr1	47715811	47779819	STIL	"developmental delay"
chr11	3875757	4114439	STIM1	"developmental delay"
chr15	74471807	74504608	STRA6	"developmental delay"
chrX	7137497	7272851	STS	"developmental delay"
chr11	125461607	125495110	STT3A	"developmental delay"
chr3	31574130	31679112	STT3B	"developmental delay"
chr9	130374544	130457460	STXBP1	"intellectual disability // developmental delay"
chr2	84650647	84687169	SUCLG1	"developmental delay"
chr3	3742498	4508965	SUMF1	"developmental delay"
chr2	203070903	203103331	SUMO1	"developmental delay"
chr12	56390964	56400425	SUOX	"intellectual disability"
chr9	136218610	136223552	SURF1	"intellectual disability // developmental delay"
chrX	47431303	47479252	SYN1	"intellectual disability // developmental delay"
chr6	86318053	86353510	SYNCRIP	"intellectual disability"
chr6	152442819	152958936	SYNE1	"developmental delay"
chr6	33387847	33421466	SYNGAP1	"intellectual disability // developmental delay"
chrX	49044269	49056718	SYP	"intellectual disability // developmental delay"
chr1	43855553	43918321	SZT2	"developmental delay"
chr6	149539777	149732749	TAB2	"developmental delay"
chr12	57403784	57422667	TAC3	"developmental delay"
chr17	61678231	61685725	TACO1	"developmental delay"
chr4	104507188	104640973	TACR3	"developmental delay"
chr8	120743015	120845103	TAF2	"intellectual disability // developmental delay"
chr17	61086917	61505060	TANC2	"intellectual disability"
chr16	71599563	71611033	TAT	"intellectual disability // developmental delay"
chrX	153639854	153650065	TAZ	"developmental delay"
chr16	2525147	2555735	TBC1D24	"developmental delay"
chr1	235530675	235612283	TBCE	"intellectual disability // developmental delay"
chr3	176737143	176915261	TBL1XR1	"developmental delay"
chr2	162272605	162282381	TBR1	"developmental delay"
chr22	19744226	19771116	TBX1	"developmental delay"
chr7	35242042	35293758	TBX20	"developmental delay"
chrX	79270255	79287268	TBX22	"developmental delay"
chr12	115108059	115121969	TBX3	"developmental delay"
chr17	59529765	59562471	TBX4	"developmental delay"
chr12	114791736	114846247	TBX5	"developmental delay"
chr7	139476850	139720125	TBXAS1	"developmental delay"
chr15	57210821	57591479	TCF12	"developmental delay"
chr18	52889562	53332018	TCF4	"intellectual disability // developmental delay"
chr22	31002825	31023265	TCN2	"intellectual disability"
chr5	149737202	149779871	TCOF1	"developmental delay"
chr12	111051832	111087235	TCTN1	"developmental delay"
chr12	124155660	124192948	TCTN2	"developmental delay"
chr10	97423158	97453900	TCTN3	"developmental delay"
chr3	46616045	46668033	TDGF1	"intellectual disability"
chr9	100174232	100258407	TDRD7	"developmental delay"
chr14	102829300	102968818	TECPR2	"developmental delay"
chr19	14627897	14676792	TECR	"intellectual disability"
chr11	120971882	121062202	TECTA	"developmental delay"
chr9	27109139	27230173	TEK	"developmental delay"
chr6	10393419	10419892	TFAP2A	"developmental delay"
chr6	50786436	50815326	TFAP2B	"developmental delay"
chr8	133879203	134147147	TG	"intellectual disability"
chr19	41807492	41859816	TGFB1	"developmental delay"
chr1	218519577	218617961	TGFB2	"developmental delay"
chr14	76424442	76449334	TGFB3	"developmental delay"
chr9	101866320	101916474	TGFBR1	"developmental delay"
chr3	30647994	30735634	TGFBR2	"developmental delay"
chr18	3411606	3458409	TGIF1	"developmental delay"
chr11	2185159	2193107	TH	"intellectual disability // developmental delay"
chr8	42691817	42698468	THAP1	"developmental delay"
chr17	38214543	38250120	THRA	"developmental delay"
chr3	24158651	24536773	THRB	"intellectual disability"
chrX	100600649	100604184	TIMM8A	"intellectual disability // developmental delay"
chr16	66541906	66586447	TK2	"developmental delay"
chr4	166794410	167025047	TLL1	"developmental delay"
chr2	228226872	228246711	TM4SF20	"developmental delay"
chr1	165696032	165796992	TMCO1	"intellectual disability // developmental delay"
chr16	8619502	8622304	TMEM114	"developmental delay"
chr11	86748886	87034800	TMEM135	"intellectual disability // developmental delay"
chr4	56262124	56319564	TMEM165	"developmental delay"
chr11	61159159	61166335	TMEM216	"developmental delay"
chr2	202484907	202508293	TMEM237	"developmental delay"
chr12	64173583	64203338	TMEM5	"developmental delay"
chr8	94767072	94831462	TMEM67	"developmental delay"
chr8	74884672	74895018	TMEM70	"developmental delay"
chr22	37461476	37505603	TMPRSS6	"developmental delay"
chr17	16832849	16875432	TNFRSF13B	"developmental delay"
chr19	12810008	12834825	TNPO2	"intellectual disability"
chr3	189349205	189615068	TP63	"developmental delay"
chr12	6976283	6980112	TPI1	"intellectual disability"
chr2	1377995	1547483	TPO	"intellectual disability"
chr11	6634000	6640692	TPP1	"intellectual disability // developmental delay"
chr9	140086069	140098645	TPRN	"developmental delay"
chr4	184580420	184634745	TRAPPC11	"developmental delay"
chrX	13730363	13752754	TRAPPC2	"developmental delay"
chr8	140742586	141468678	TRAPPC9	"intellectual disability // developmental delay"
chr3	48506445	48509044	TREX1	"developmental delay"
chr9	119449581	119463579	TRIM32	"developmental delay"
chr17	57059999	57184282	TRIM37	"developmental delay"
chr5	14143811	14532235	TRIO	"intellectual disability // developmental delay"
chr14	92432335	92507240	TRIP11	"developmental delay"
chr19	13215716	13228381	TRMT1	"intellectual disability // developmental delay"
chr15	31293264	31453476	TRPM1	"developmental delay"
chr8	116420724	116821899	TRPS1	"developmental delay"
chr17	3413796	3461289	TRPV3	"developmental delay"
chr12	110220890	110271212	TRPV4	"developmental delay"
chr9	135766735	135820020	TSC1	"intellectual disability // developmental delay"
chr16	2097466	2138716	TSC2	"intellectual disability // developmental delay"
chr3	12525931	12581122	TSEN2	"developmental delay"
chr19	54693789	54697585	TSEN34	"developmental delay"
chr17	73512141	73520820	TSEN54	"developmental delay"
chr1	115572415	115576941	TSHB	"intellectual disability"
chr14	81421333	81612646	TSHR	"intellectual disability // developmental delay"
chr18	72922710	73001905	TSHZ1	"developmental delay"
chrX	38420623	38548169	TSPAN7	"intellectual disability // developmental delay"
chr17	15902694	15948329	TTC19	"developmental delay"
chr5	94799599	94890711	TTC37	"developmental delay"
chr2	47143296	47303276	TTC7A	"developmental delay"
chr14	89290497	89344335	TTC8	"developmental delay"
chr9	135251008	135282209	TTF1	"intellectual disability"
chr1	117602925	117650075	TTF2	"intellectual disability"
chr8	33330904	33371119	TTI2	"intellectual disability // developmental delay"
chr2	179390716	179695529	TTN	"developmental delay"
chr12	49578579	49583107	TUBA1A	"intellectual disability // developmental delay"
chr22	18593097	18629321	TUBA8	"developmental delay"
chr6	3153903	3157760	TUBB2A	"developmental delay"
chr6	3224495	3231964	TUBB2B	"developmental delay"
chr19	6494330	6502859	TUBB4A	"developmental delay"
chr22	50656118	50683421	TUBGCP6	"developmental delay"
chr16	28853732	28857729	TUFM	"developmental delay"
chr8	15274724	15624158	TUSC3	"intellectual disability // developmental delay"
chr7	19060614	19157295	TWIST1	"developmental delay"
chr2	239756673	239795893	TWIST2	"developmental delay"
chr11	88910620	89028927	TYR	"developmental delay"
chr9	12685439	12710290	TYRP1	"developmental delay"
chrX	118708501	118718381	UBE2A	"intellectual disability // developmental delay"
chr15	25582381	25684128	UBE3A	"intellectual disability // developmental delay"
chr12	109915207	109974507	UBE3B	"developmental delay"
chr15	43235095	43398311	UBR1	"intellectual disability // developmental delay"
chr14	93673401	93695561	UBR7	"intellectual disability // developmental delay"
chr2	234526291	234681956	UGT1A1	"developmental delay"
chr3	124449213	124464040	UMPS	"developmental delay"
chrX	118967985	118986961	UPF3B	"intellectual disability // developmental delay"
chr8	97238148	97247862	UQCRB	"developmental delay"
chr5	132202252	132203723	UQCRQ	"developmental delay"
chr3	126200124	126236616	UROC1	"developmental delay"
chr10	127477146	127511817	UROS	"developmental delay"
chrX	40944888	41095832	USP9X	"intellectual disability // developmental delay"
chr4	1341054	1381837	UVSSA	"developmental delay"
chr1	116184574	116240845	VANGL1	"developmental delay"
chr12	48235320	48336831	VDR	"developmental delay"
chr6	153071933	153080900	VIP	"developmental delay"
chr14	77893018	77924295	VIPAS39	"developmental delay"
chr9	2621834	2660053	VLDLR	"intellectual disability // developmental delay"
chr8	100025494	100889808	VPS13B	"developmental delay"
chr15	91541646	91565833	VPS33B	"developmental delay"
chr14	97263641	97398059	VRK1	"intellectual disability // developmental delay"
chr14	74706175	74729441	VSX2	"developmental delay"
chr10	28821422	28912041	WAC	"intellectual disability // developmental delay"
chr2	63348518	64054977	WDPCP	"developmental delay"
chr10	122610687	122669036	WDR11	"developmental delay"
chr4	39184024	39287430	WDR19	"developmental delay"
chr9	131395940	131419066	WDR34	"developmental delay"
chr2	20110021	20189892	WDR35	"developmental delay"
chrX	48929385	48958108	WDR45	"developmental delay"
chr17	80572438	80606429	WDR45B	"intellectual disability // developmental delay"
chr7	158649269	158749438	WDR60	"developmental delay"
chr19	36545783	36596008	WDR62	"intellectual disability // developmental delay"
chr17	1619817	1641893	WDR81	"intellectual disability"
chr12	49372398	49375459	WNT1	"developmental delay"
chr12	49359123	49365546	WNT10B	"developmental delay"
chr17	44839872	44910520	WNT3	"developmental delay"
chr1	22443798	22470462	WNT4	"developmental delay"
chr3	55499743	55523973	WNT5A	"developmental delay"
chr3	13857755	13921618	WNT7A	"developmental delay"
chr17	7589389	7606820	WRAP53	"developmental delay"
chr11	32409321	32457176	WT1	"developmental delay"
chr9	100437191	100459639	XPA	"intellectual disability // developmental delay"
chr3	14186647	14220283	XPC	"developmental delay"
chr22	41253081	41363838	XPNPEP3	"developmental delay"
chr16	17195626	17564738	XYLT1	"developmental delay"
chr11	101981192	102104154	YAP1	"intellectual disability // developmental delay"
chr17	1247566	1303672	YWHAE	"developmental delay"
chr14	100704635	100749129	YY1	"intellectual disability // developmental delay"
